,Listing_id,Location,Address,Price,Title,Agent,Url,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size,Gross Lettable Area,insert_date,price per m2 Erf,price per m2 Floor
2421,109150103,Bluff,unknown,797000.0,1 Bedroom Apartment,Harcourts Brighton Beach,/for-sale/bluff/durban/kwazulu-natal/12970/109150103,1.0,1.0,1.0,,,,2020-11-14 14:14:23.379413,,
2422,109132395,Point Waterfront,unknown,3225000.0,Apartment,unknown,/for-sale/point-waterfront/durban/kwazulu-natal/6024/109132395,,,,,,,2020-11-14 14:14:23.379413,,
2423,108762602,Essenwood,407 Musgrave Road,3995000.0,4 Bedroom House,Rawson Properties Berea,/for-sale/essenwood/durban/kwazulu-natal/6165/108762602,4.0,3.0,6.0,711.0,,,2020-11-14 14:14:23.379413,5618.8466947960615,
2424,109120903,Umbilo,unknown,600000.0,1 Bedroom Apartment,"RE/MAX, Advance - Queensburgh",/for-sale/umbilo/durban/kwazulu-natal/6029/109120903,1.0,1.0,,,56.0,,2020-11-14 14:14:23.379413,,10714.285714285714
2425,109009415,South Beach,unknown,1300000.0,1 Bedroom Apartment,Chas Everitt Durban South,/for-sale/south-beach/durban/kwazulu-natal/6027/109009415,1.0,1.0,,,61.0,,2020-11-14 14:14:23.379413,,21311.475409836065
2426,109105107,Bulwer,unknown,515000.0,1 Bedroom Apartment,Pam Golding Properties - Durban,/for-sale/bulwer/durban/kwazulu-natal/5969/109105107,1.0,1.0,1.0,,67.0,,2020-11-14 14:14:23.379413,,7686.567164179104
2427,109018984,Woodlands,unknown,595000.0,2 Bedroom Apartment,Idwala Property Group,/for-sale/woodlands/durban/kwazulu-natal/6042/109018984,2.0,1.0,1.0,,44.0,,2020-11-14 14:14:23.379413,,13522.727272727272
2428,108915924,Glenwood,unknown,2700000.0,Industrial Property,Maxprop Durban C & I,/for-sale/glenwood/durban/kwazulu-natal/6034/108915924,,,,,570.0,,2020-11-14 14:14:23.379413,,4736.8421052631575
2429,108913455,Westridge,260 Jan Smuts Highway,18000000.0,Industrial Property,Just Property Margate,/for-sale/westridge/durban/kwazulu-natal/6202/108913455,,,,,3395.0,,2020-11-14 14:14:23.379413,,5301.9145802650955
2430,109023245,Newlands West,unknown,660000.0,3 Bedroom House,Jazmax Newlands,/for-sale/newlands-west/durban/kwazulu-natal/6133/109023245,3.0,1.0,2.0,230.0,,,2020-11-14 14:14:23.379413,2869.5652173913045,
2431,108928411,Morningside,unknown,850000.0,1 Bedroom Apartment,Tyson Properties Morningside Office,/for-sale/morningside/durban/kwazulu-natal/6021/108928411,1.0,1.0,1.0,,62.0,,2020-11-14 14:14:23.379413,,13709.677419354839
2432,109125851,Bluff,unknown,1450000.0,3 Bedroom House,Harcourts Brighton Beach,/for-sale/bluff/durban/kwazulu-natal/12970/109125851,3.0,1.0,2.0,1200.0,,,2020-11-14 14:14:23.379413,1208.3333333333333,
2433,109102694,Hillary,41 6th Street,1150000.0,3 Bedroom House,Wakefields Estate Agents Malvern,/for-sale/hillary/durban/kwazulu-natal/6251/109102694,3.0,1.5,,1012.0,,,2020-11-14 14:14:23.379413,1136.3636363636363,
2434,108941645,Glenwood,unknown,675000.0,2 Bedroom Apartment,Prime Property Musgrave,/for-sale/glenwood/durban/kwazulu-natal/6034/108941645,2.0,2.0,1.0,,90.0,,2020-11-14 14:14:23.379413,,7500.0
2435,108789774,Bulwer,23 Brand Road,645000.0,1.5 Bedroom Apartment,Prime Property Musgrave,/for-sale/bulwer/durban/kwazulu-natal/5969/108789774,1.5,1.0,1.0,,75.0,,2020-11-14 14:14:23.379413,,8600.0
2436,109041721,Hillary,unknown,1395000.0,3 Bedroom House,Tyson Properties Queensburgh Office,/for-sale/hillary/durban/kwazulu-natal/6251/109041721,3.0,1.0,2.0,880.0,,,2020-11-14 14:14:23.379413,1585.2272727272727,
2437,108804335,Glenwood,unknown,2300000.0,4 Bedroom House,Property.CoZa - Berea,/for-sale/glenwood/durban/kwazulu-natal/6034/108804335,4.0,3.0,6.0,669.0,,,2020-11-14 14:14:23.379413,3437.96711509716,
2438,109077229,Essenwood,unknown,749995.0,1.5 Bedroom Apartment,Prime Property Musgrave,/for-sale/essenwood/durban/kwazulu-natal/6165/109077229,1.5,1.0,2.0,,,,2020-11-14 14:14:23.379413,,
2439,108671936,Musgrave,99 99 Currie Road,2395000.0,3 Bedroom Apartment,Seeff Berea,/for-sale/musgrave/durban/kwazulu-natal/6166/108671936,3.0,2.0,3.0,,190.0,,2020-11-14 14:14:23.379413,,12605.263157894737
2440,109215321,Glenwood,unknown,695000.0,1 Bedroom Apartment,BIDCORE,/for-sale/glenwood/durban/kwazulu-natal/6034/109215321,1.0,1.0,1.0,,,,2020-11-14 14:14:23.379413,,
2441,108769281,Bluff,112 Maxwell Avenue,2400000.0,4 Bedroom House,Acutts Bluff,/for-sale/bluff/durban/kwazulu-natal/12970/108769281,4.0,2.0,3.0,1643.0,,,2020-11-14 14:14:23.379413,1460.7425441265977,
2442,109127030,Hillary,unknown,2195000.0,4 Bedroom House,"RE/MAX, Advance - Queensburgh",/for-sale/hillary/durban/kwazulu-natal/6251/109127030,4.0,1.0,2.0,,200.0,,2020-11-14 14:14:23.379413,,10975.0
2443,109190475,Durban Central,unknown,1200000.0,3 Bedroom Apartment,Property.CoZa - Berea,/for-sale/durban-central/durban/kwazulu-natal/5992/109190475,3.0,2.0,2.0,,,,2020-11-14 14:14:23.379413,,
2444,109211577,Glenwood,unknown,695000.0,1 Bedroom Apartment,BIDCORE,/for-sale/glenwood/durban/kwazulu-natal/6034/109211577,1.0,1.0,1.0,,,,2020-11-14 14:14:23.379413,,
2445,109187352,Sea View,unknown,1650000.0,3 Bedroom House,Jazmax - Westville,/for-sale/sea-view/durban/kwazulu-natal/6255/109187352,3.0,1.0,2.0,,,,2020-11-14 14:14:23.379413,,
2446,109197152,Bellair,unknown,750000.0,2 Bedroom House,Pam Golding Properties - Westville,/for-sale/bellair/durban/kwazulu-natal/6248/109197152,2.0,1.0,4.0,,53.0,,2020-11-14 14:14:23.379413,,14150.943396226416
2447,109188680,Musgrave,330 Mazisi Kunene Rd,830000.0,2 Bedroom Apartment,unknown,/for-sale/musgrave/durban/kwazulu-natal/6166/109188680,2.0,1.0,1.0,,,,2020-11-14 14:14:23.379413,,
2448,109107366,Glenwood,unknown,890000.0,2.5 Bedroom Apartment,Soukop Property Group - Morningside,/for-sale/glenwood/durban/kwazulu-natal/6034/109107366,2.5,1.5,1.0,,76.0,,2020-11-14 14:14:23.379413,,11710.526315789473
2449,109057610,Glenwood,25 Mundy Avenue,,16 Bedroom House,Matrix Auctions,/for-sale/glenwood/durban/kwazulu-natal/6034/109057610,16.0,5.0,5.0,957.0,,,2020-11-14 14:14:23.379413,,
2450,108979684,North Beach,unknown,1695000.0,3 Bedroom Apartment,Wakefields Beach,/for-sale/north-beach/durban/kwazulu-natal/6022/108979684,3.0,2.0,,,118.0,,2020-11-14 14:14:23.379413,,14364.406779661016
2451,109132380,Durban Central,unknown,495000.0,2 Bedroom Apartment,BIDCORE,/for-sale/durban-central/durban/kwazulu-natal/5992/109132380,2.0,2.0,,,77.0,,2020-11-14 14:14:23.379413,,6428.571428571428
2452,109073173,Glenmore,43 Carmont 116 Mountain Rise,680000.0,2 Bedroom Apartment,Acutts Berea,/for-sale/glenmore/durban/kwazulu-natal/10787/109073173,2.0,1.0,1.0,,,,2020-11-14 14:14:23.379413,,
2453,109044245,Parlock,unknown,895000.0,Vacant Land,Wakefields Estate Agents Phoenix,/for-sale/parlock/durban/kwazulu-natal/6135/109044245,,,,519.0,,,2020-11-14 14:14:23.379413,1724.4701348747592,
2454,109089528,Glenwood,unknown,875000.0,2.5 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/glenwood/durban/kwazulu-natal/6034/109089528,2.5,1.0,1.0,,119.0,,2020-11-14 14:14:23.379413,,7352.941176470588
