,Unnamed: 0,Unnamed: 0.1,Listing_id,Location,Address,Price,Title,Agent,Url,Bedrooms,Bathrooms,Parking Spaces,Floor Size,Erf Size,Gross Lettable Area,address2,lat,lon
4598,4598,4598,107403517,North Beach,unknown,1850000.0,2.5 Bedroom Apartment,Wakefields Beach,/for-sale/north-beach/durban/kwazulu-natal/6022/107403517,2.5,2.0,1.0,,,,North Beach Durban,-29.846709099999998,31.035285842256584
4599,4599,4599,107403517,North Beach,unknown,1850000.0,2.5 Bedroom Apartment,Wakefields Beach,/for-sale/north-beach/durban/kwazulu-natal/6022/107403517,2.5,2.0,1.0,,,,North Beach Durban,-29.846709099999998,31.035285842256584
4600,4600,4600,107519656,Carrington Heights,unknown,690000.0,2.5 Bedroom Apartment,Tyson Properties Glenwood,/for-sale/carrington-heights/durban/kwazulu-natal/6005/107519656,2.5,1.0,1.0,68.0,,,Carrington Heights Durban,-29.8788889,30.9777778
4601,4601,4601,108508183,Bellair,unknown,1450000.0,8 Bedroom House,Idwala Property Group - Amanzimtoti,/for-sale/bellair/durban/kwazulu-natal/6248/108508183,8.0,4.0,9.0,,1663.0,,Bellair Durban,-29.8922222,30.9516667
4602,4602,4602,108263253,Parlock,unknown,1350000.0,4 Bedroom House,Pam Golding Properties - Westville,/for-sale/parlock/durban/kwazulu-natal/6135/108263253,4.0,4.0,4.0,,765.0,,Parlock Durban,-29.7941211,30.9747594
4603,4603,4603,107234133,Newlands West,unknown,1250000.0,4 Bedroom House,Jazmax Newlands,/for-sale/newlands-west/durban/kwazulu-natal/6133/107234133,4.0,3.0,3.0,,1000.0,,Newlands West Durban,-29.7783333,30.9608333
4604,4604,4604,107555537,Esplanade,unknown,598000.0,1 Bedroom Apartment,Wakefields Beach,/for-sale/esplanade/durban/kwazulu-natal/6010/107555537,1.0,1.0,,67.0,,,Esplanade Durban,-29.861825,31.009909
4605,4605,4605,107666624,Briardene,unknown,9500000.0,Industrial Property,Maxprop Durban C & I,/for-sale/briardene/durban/kwazulu-natal/6069/107666624,,,,1141.0,,,Briardene Durban,-29.7919444,31.0072222
4606,4606,4606,108090320,Newlands West,unknown,1090000.0,3 Bedroom House,Wakefields Estate Agents Phoenix,/for-sale/newlands-west/durban/kwazulu-natal/6133/108090320,3.0,2.0,1.0,,419.0,,Newlands West Durban,-29.7783333,30.9608333
4607,4607,4607,108335767,Durban Central,unknown,490000.0,1.5 Bedroom Apartment,Maxprop Queensburgh,/for-sale/durban-central/durban/kwazulu-natal/5992/108335767,1.5,1.0,1.0,74.0,,,Durban Central Durban,-29.8574209,31.02222775321959
4608,4608,4608,107998730,Sherwood,unknown,1450000.0,3 Bedroom Apartment,Soukop Property Group - Morningside,/for-sale/sherwood/durban/kwazulu-natal/6194/107998730,3.0,2.0,2.0,128.0,,,Sherwood Durban,-29.8288889,30.9772222
4609,4609,4609,104320825,Springfield,unknown,890000.0,3 Bedroom House,Wakefields Estate Agents Berea,/for-sale/springfield/durban/kwazulu-natal/6196/104320825,3.0,1.0,2.0,,962.0,,Springfield Durban,-29.8205556,30.995
4610,4610,4610,107413972,Overport,"Villa Heights, 78 Villa",680000.0,1.5 Bedroom House,RE/MAX Address - Berea,/for-sale/overport/durban/kwazulu-natal/6023/107413972,1.5,1.0,1.0,55.0,,,"Villa Heights, 78 Villa Durban",-28.7561777,24.7336927
4611,4611,4611,107925622,Duffs Rd,unknown,1600000.0,3 Bedroom House,Wakefields Estate Agents Phoenix,/for-sale/duffs-rd/durban/kwazulu-natal/6076/107925622,3.0,1.0,2.0,,1108.0,,Duffs Rd Durban,-29.7447222,31.0077778
4612,4612,4612,109055431,Duffs Rd,unknown,1600000.0,3 Bedroom House,Wakefields Estate Agents Phoenix,/for-sale/duffs-rd/durban/kwazulu-natal/6076/109055431,3.0,1.0,2.0,,1108.0,,Duffs Rd Durban,-29.7447222,31.0077778
4613,4613,4613,108567792,North Beach,unknown,899000.0,2 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/north-beach/durban/kwazulu-natal/6022/108567792,2.0,1.0,1.0,,,,North Beach Durban,-29.846709099999998,31.035285842256584
