,Listing_id,Location,Address,Price,Title,Agent,Url,Bedrooms,Bathrooms,Parking Spaces,Floor Size,Erf Size,Gross Lettable Area
3871,108884186,Greenwood Park,unknown,1350000,4 Bedroom House,RE/MAX Panache - La Lucia,/for-sale/greenwood-park/durban/kwazulu-natal/6086/108884186,4,2.5,5,,943 m²,
3872,108898903,Umbilo,unknown,3400000,6 Bedroom House,Kopp Commercial,/for-sale/umbilo/durban/kwazulu-natal/6029/108898903,6,6,,,557 m²,
3873,108382668,Essenwood,unknown,2395000,2 Bedroom Apartment,Wakefields Estate Agents Berea,/for-sale/essenwood/durban/kwazulu-natal/6165/108382668,2,2,2,170 m²,,
3874,108601343,Glenwood,unknown,750000,1.5 Bedroom Apartment,Tyson Properties Morningside Office,/for-sale/glenwood/durban/kwazulu-natal/6034/108601343,1.5,1,2,71 m²,,
3875,108655949,South Beach,unknown,359000,1 Bedroom Apartment,Rawson Properties Durban Bluff,/for-sale/south-beach/durban/kwazulu-natal/6027/108655949,1,1,,,,
3876,108872217,Earlsfield,unknown,850000,4 Bedroom House,Wakefields Estate Agents Phoenix,/for-sale/earlsfield/durban/kwazulu-natal/6078/108872217,4,2,,,355 m²,
3877,105375029,North Beach,unknown,1400000,2 Bedroom Apartment,Wakefields Beach,/for-sale/north-beach/durban/kwazulu-natal/6022/105375029,2,1,,77 m²,,
3878,108390913,Morningside,unknown,1950000,3 Bedroom Townhouse,Tyson Properties Morningside Office,/for-sale/morningside/durban/kwazulu-natal/6021/108390913,3,1.5,6,,573 m²,
3879,108536502,Musgrave,unknown,1150000,2 Bedroom Apartment,Acutts Berea,/for-sale/musgrave/durban/kwazulu-natal/6166/108536502,2,2,2,88 m²,,
3880,108583843,Bluff,unknown,2495000,Commercial Property,Rawson Properties Durban Bluff,/for-sale/bluff/durban/kwazulu-natal/12970/108583843,,,,907 m²,,
3881,108966968,Montclair,unknown,520000,2 Bedroom Apartment,Property.CoZa - Berea,/for-sale/montclair/durban/kwazulu-natal/6040/108966968,2,1,1,,,
3882,106712127,Westridge,260 Jan Smuts Highway,18000000,Industrial Property,"Just Property, Berea",/for-sale/westridge/durban/kwazulu-natal/6202/106712127,,,,3 395 m²,,
3883,108998482,South Beach,unknown,359000,1 Bedroom Apartment,Rawson Properties Durban Bluff,/for-sale/south-beach/durban/kwazulu-natal/6027/108998482,1,1,,,,
3884,108818846,Morningside,unknown,8000000,17 Bedroom House,KZN North Coast Property,/for-sale/morningside/durban/kwazulu-natal/6021/108818846,17,17,,,,
3885,108459853,Hillary,unknown,1595000,3 Bedroom Townhouse,Dormehl Phalane Property Group Queensburgh,/for-sale/hillary/durban/kwazulu-natal/6251/108459853,3,2,4,102 m²,,
3886,108494178,Esplanade,unknown,570000,Apartment,Wakefields Beach,/for-sale/esplanade/durban/kwazulu-natal/6010/108494178,,1,1,49 m²,,
3887,108997069,Overport,unknown,840000,3 Bedroom Apartment,Jazmax - Head Office,/for-sale/overport/durban/kwazulu-natal/6023/108997069,3,2,1,,,
3888,108670874,Newlands West,unknown,1075000,3 Bedroom House,unknown,/for-sale/newlands-west/durban/kwazulu-natal/6133/108670874,3,2,3,,419 m²,
3889,105971200,Glenwood,unknown,3000000,Commercial Property,Kopp Commercial,/for-sale/glenwood/durban/kwazulu-natal/6034/105971200,,,,400 m²,,
3890,108519900,Musgrave,unknown,985000,2.5 Bedroom Apartment,Wakefields Estate Agents Berea,/for-sale/musgrave/durban/kwazulu-natal/6166/108519900,2.5,1,1,83 m²,,
3891,109216463,Glenwood,unknown,3000000,Commercial Property,Kopp Commercial,/for-sale/glenwood/durban/kwazulu-natal/6034/109216463,,,,400 m²,,
3892,108784722,Musgrave,unknown,POA,4 Bedroom Townhouse,unknown,/for-sale/musgrave/durban/kwazulu-natal/6166/108784722,4,4,1,,,
3893,108482711,Glenwood,unknown,780000,1.5 Bedroom Apartment,Tyson Properties Glenwood,/for-sale/glenwood/durban/kwazulu-natal/6034/108482711,1.5,1.5,2,66 m²,,
3894,108613146,North Beach,unknown,925000,1 Bedroom Apartment,Prime Property Musgrave,/for-sale/north-beach/durban/kwazulu-natal/6022/108613146,1,1.5,1,70 m²,,
3895,106457863,North Beach,unknown,1695000,3 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/north-beach/durban/kwazulu-natal/6022/106457863,3,1,1,118 m²,,
3896,108203096,Westridge,unknown,1795000,4 Bedroom Townhouse,Soukop Property Group - Morningside,/for-sale/westridge/durban/kwazulu-natal/6202/108203096,4,2.5,6,265 m²,,
